23
0	21	0	500000
1	21	16	500000
2	21	22	500000
3	21	3	500000
4	21	20	500000
5	1	22	500000
6	2	22	500000
7	16	17	500000
8	16	4	500000
9	17	5	500000
10	17	6	500000
11	7	22	500000
12	8	18	500000
13	9	18	500000
14	22	10	500000
15	22	20	500000
16	22	15	500000
17	18	11	500000
18	18	19	500000
19	18	20	500000
20	19	12	500000
21	19	13	500000
22	14	20	500000
23	0	21	500000
24	16	21	500000
25	22	21	500000
26	3	21	500000
27	20	21	500000
28	22	1	500000
29	22	2	500000
30	17	16	500000
31	4	16	500000
32	5	17	500000
33	6	17	500000
34	22	7	500000
35	18	8	500000
36	18	9	500000
37	10	22	500000
38	20	22	500000
39	15	22	500000
40	11	18	500000
41	19	18	500000
42	20	18	500000
43	12	19	500000
44	13	19	500000
45	20	14	500000
46	0	1	500000
47	1	0	500000
48	1	2	500000
49	2	1	500000
50	2	3	500000
51	3	2	500000
52	3	4	500000
53	4	3	500000
54	4	5	500000
55	5	4	500000
56	5	6	500000
57	6	5	500000
58	6	7	500000
59	7	6	500000
60	7	8	500000
61	8	9	500000
62	9	8	500000
63	9	10	500000
64	10	9	500000
65	10	11	500000
66	11	10	500000
67	11	12	500000
68	12	11	500000
69	12	13	500000
70	13	12	500000
71	13	14	500000
72	14	13	500000
73	14	15	500000
74	15	14	500000
